Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000086827	GO:0000922	ENSP00000200135
ENSG00000086827	GO:0005634	ENSP00000200135
ENSG00000086827	GO:0005737	ENSP00000200135
ENSG00000086827	GO:0005783	ENSP00000200135
ENSG00000086827	GO:0005789	ENSP00000200135
ENSG00000086827	GO:0005828	ENSP00000200135
ENSG00000086827	GO:0005829	ENSP00000200135
ENSG00000086827	GO:0005856	ENSP00000200135
ENSG00000086827	GO:0016020	ENSP00000200135
ENSG00000086827	GO:0000775	ENSP00000200135
ENSG00000086827	GO:0005515	ENSP00000200135
ENSG00000086827	GO:0019237	ENSP00000200135
ENSG00000089009	GO:0006355	ENSP00000202773
ENSG00000089009	GO:0006412	ENSP00000202773
ENSG00000089009	GO:0006414	ENSP00000202773
ENSG00000089009	GO:0006415	ENSP00000202773
ENSG00000089009	GO:0010467	ENSP00000202773
ENSG00000089009	GO:0016032	ENSP00000202773
ENSG00000089009	GO:0019058	ENSP00000202773
ENSG00000089009	GO:0019083	ENSP00000202773
ENSG00000089009	GO:0031018	ENSP00000202773
ENSG00000089009	GO:0044267	ENSP00000202773
ENSG00000089009	GO:0005829	ENSP00000202773
ENSG00000089009	GO:0005840	ENSP00000202773
ENSG00000089009	GO:0022625	ENSP00000202773
ENSG00000089009	GO:0005622	ENSP00000202773
ENSG00000089009	GO:0003677	ENSP00000202773
ENSG00000089009	GO:0003723	ENSP00000202773
ENSG00000089009	GO:0003735	ENSP00000202773
ENSG00000089195	GO:0006446	ENSP00000203001
ENSG00000089195	GO:0008033	ENSP00000203001
ENSG00000089195	GO:0006413	ENSP00000203001
ENSG00000089195	GO:0005634	ENSP00000203001
ENSG00000089195	GO:0003743	ENSP00000203001
ENSG00000089195	GO:0005515	ENSP00000203001
ENSG00000010256	GO:0006119	ENSP00000203407
ENSG00000010256	GO:0006122	ENSP00000203407
ENSG00000010256	GO:0006508	ENSP00000203407
ENSG00000010256	GO:0006810	ENSP00000203407
ENSG00000010256	GO:0009060	ENSP00000203407
ENSG00000010256	GO:0014823	ENSP00000203407
ENSG00000010256	GO:0022904	ENSP00000203407
ENSG00000010256	GO:0043279	ENSP00000203407
ENSG00000010256	GO:0055114	ENSP00000203407
ENSG00000010256	GO:0005739	ENSP00000203407
ENSG00000010256	GO:0005743	ENSP00000203407
ENSG00000010256	GO:0005746	ENSP00000203407
ENSG00000010256	GO:0005750	ENSP00000203407
ENSG00000010256	GO:0016020	ENSP00000203407
ENSG00000010256	GO:0004222	ENSP00000203407
ENSG00000010256	GO:0005515	ENSP00000203407
ENSG00000010256	GO:0008121	ENSP00000203407
ENSG00000010256	GO:0008270	ENSP00000203407
ENSG00000010256	GO:0032403	ENSP00000203407
ENSG00000010256	GO:0046872	ENSP00000203407
ENSG00000010256	GO:0003824	ENSP00000203407
ENSG00000089639	GO:0007264	ENSP00000203556
ENSG00000089639	GO:0034259	ENSP00000203556
ENSG00000089639	GO:0035556	ENSP00000203556
ENSG00000089639	GO:0051056	ENSP00000203556
ENSG00000089639	GO:0007165	ENSP00000203556
ENSG00000089639	GO:0005622	ENSP00000203556
ENSG00000089639	GO:0005829	ENSP00000203556
ENSG00000089639	GO:0005096	ENSP00000203556
